"waterTemperature","swimSpeed","mass","storageLevel","meanThermo","sdThermo"
-5,1.41,90,0.06,587587.920406227,121491.748141703
-5,1.41,90,0.08,292103.23097946,87151.0393934318
-5,1.41,90,0.12,-24981.3001108107,53902.7930668159
-5,1.41,90,0.2,-256262.749632874,37170.6509488879
-5,1.41,90,0.36,-417980.48924647,20282.4883746339
-5,1.41,90,0.68,-514378.365069525,10607.7790522602
-5,1.88,10,0.05,925693.953129711,94800.9288070442
-5,1.88,10,0.0525,856353.517525665,94381.8315347309
-5,1.88,10,0.055,835210.189012355,96087.9580617858
-5,1.88,10,0.06,727469.908224463,73644.5970108324
-5,1.88,10,0.08,526027.465117728,66128.1300275485
-5,1.88,10,0.12,301616.476888008,45215.9235903291
-5,1.88,10,0.2,132668.616145072,25894.8474840246
-5,1.88,10,0.36,14580.0414783112,13598.596202536
-5,1.88,10,0.68,-54074.7296595601,7678.25932156295
-5,1.88,20,0.05,972440.946818394,105027.458521269
-5,1.88,20,0.0525,885816.910924873,101396.6784947
-5,1.88,20,0.055,857223.305103279,99494.5559127818
-5,1.88,20,0.06,761962.199701983,94129.9666416628
-5,1.88,20,0.08,505117.944757205,78208.275842692
-5,1.88,20,0.12,271714.066536927,43265.558687884
-5,1.88,20,0.2,71181.512227533,34457.4412668287
-5,1.88,20,0.36,-57507.827101485,17424.7161947452
-5,1.88,20,0.68,-132745.216785465,8565.15736746305
-5,1.88,30,0.05,938382.251929466,117544.47780274
-5,1.88,30,0.0525,884849.983425408,117857.264871005
-5,1.88,30,0.055,818320.740767333,115590.64025664
-5,1.88,30,0.06,732079.387049776,104180.964579395
-5,1.88,30,0.08,477735.352642437,76342.629358504
-5,1.88,30,0.12,228637.124970865,47620.6104022267
-5,1.88,30,0.2,14791.4917566885,35750.3114653295
-5,1.88,30,0.36,-122074.373938211,18817.2590519881
-5,1.88,30,0.68,-202880.363678121,10373.6063840521
-5,1.88,40,0.05,919209.127293216,122071.699711296
-5,1.88,40,0.0525,897700.553741885,114975.107276655
-5,1.88,40,0.055,824182.428076981,120298.409971559
-5,1.88,40,0.06,706645.317582316,93270.4400509787
-5,1.88,40,0.08,434489.898404747,75048.5887191805
-5,1.88,40,0.12,174136.541939252,52598.0344610167
-5,1.88,40,0.2,-43349.4048344842,36311.4580554827
-5,1.88,40,0.36,-184975.465655953,20792.1463344151
-5,1.88,40,0.68,-268393.183233679,9660.85036889992
-5,1.88,50,0.05,911574.077469368,141122.384656761
-5,1.88,50,0.0525,843124.313304117,116534.214586916
-5,1.88,50,0.055,791083.49519164,116031.845044796
-5,1.88,50,0.06,674946.796466761,106589.435491129
-5,1.88,50,0.08,391081.057595678,81011.8798633536
-5,1.88,50,0.12,121816.640945824,52033.3993084701
-5,1.88,50,0.2,-95734.8558878733,32530.929453927
-5,1.88,50,0.36,-240154.745914124,20210.4274390176
-5,1.88,50,0.68,-327342.263959534,10481.6438826657
-5,1.88,60,0.05,892979.668528381,147897.680514537
-5,1.88,60,0.0525,804127.893633086,121875.773760357
-5,1.88,60,0.055,739586.950338873,143576.696124689
-5,1.88,60,0.06,646546.376422275,121912.942733958
-5,1.88,60,0.08,366349.700526822,78234.3220037006
-5,1.88,60,0.12,84205.871595747,52277.1785262968
-5,1.88,60,0.2,-144489.840870767,35924.4663366537
-5,1.88,60,0.36,-295708.260444155,18623.2910720336
-5,1.88,60,0.68,-385911.6911921,8587.23205428907
-5,1.88,70,0.05,865170.477853343,143995.882763756
-5,1.88,70,0.0525,779836.088682782,142766.666803996
-5,1.88,70,0.055,719610.74193327,126741.030869623
-5,1.88,70,0.06,607625.475307845,116840.545400701
-5,1.88,70,0.08,343450.365633096,75760.0007899941
-5,1.88,70,0.12,39659.5838872049,57384.2575132168
-5,1.88,70,0.2,-193694.667995312,28150.0676525138
-5,1.88,70,0.36,-350553.27278384,20790.1414457457
-5,1.88,70,0.68,-440929.391305168,12438.0048506162
-5,1.88,80,0.05,826983.121166903,170608.754394344
-5,1.88,80,0.0525,769633.512746764,160248.185213311
-5,1.88,80,0.055,700107.993025858,111968.76002871
-5,1.88,80,0.06,589318.005196288,112297.791467652
-5,1.88,80,0.08,286735.807586447,80894.4558557511
-5,1.88,80,0.12,255.744208231389,64220.5637054994
-5,1.88,80,0.2,-253207.067316562,36794.2423016334
-5,1.88,80,0.36,-406927.5451555,22420.9845828723
-5,1.88,80,0.68,-495316.490676066,11446.8338909902
-5,1.88,90,0.05,807960.796428419,140352.061407705
-5,1.88,90,0.0525,736522.098629918,128011.385680083
-5,1.88,90,0.055,648929.195202739,138413.233435143
-5,1.88,90,0.06,557842.714714994,129759.904283415
-5,1.88,90,0.08,259996.653207342,88813.0794462691
-5,1.88,90,0.12,-51450.9900370449,56562.2559443025
-5,1.88,90,0.2,-289501.301862028,35207.7681968841
-5,1.88,90,0.36,-451964.473251287,24244.4741299718
-5,1.88,90,0.68,-546500.991031648,10752.3297205508
-5,2.35,10,0.05,907266.365359623,93762.3758517139
-5,2.35,10,0.0525,875047.706423416,106168.577108221
